"address1";"adresse 1"
"address2";"adresse 2"
"cancel";"annuler"
"city";"ville"
"Company";"Société"
"Contact already exists.";"Le contact existe déjà."
"Contact is invalid.";"Le contact est invalide."
"country";"pays"
"Delete";"Supprimer"
"delete";"supprimer"
"Edit";"Editer"
"Filter";"Afficher"
"firstname";"prénom"
"Form has some errors.";"Le formulaire comporte des erreurs"
"GPS coordinates";"Coordonnées GPS"
"Init";"Vider les filtres"
"lastname";"nom"
"mobile";"portable"
"name";"nom"
"new";"nouveau"
"new contact";"nouveau contact"
"New contact";"Nouveau contact"
"new partner";"nouveau partenaire"
"New partner";"Nouveau partenaire"
"No contact.";"Aucun contact"
"No partner";"Aucun partenaire"
"one result";"un résultat"
"order_asc";"tri ascendant"
"order_desc";"tri descendant"
"Partners";"Partenaires"
"Partner already exists";"Le partenaire existe déjà,"
"Partner has been deleted.";"Le partenaire a été supprimé."
"Partner is invalid.";"Le partenaire est invalide."
"phone";"téléphone"
"post code";"code postal"
"results";"résultats"
"save";"enregistrer"
"state";"état"
"thanks to select a site";"merci de sélectionner un site"
"title";"titre"
"View partner";"Edition du partenaire"
"Partners Administration";"Administration des partenaires"
"partner_state_NO";"Inactif"
"partner_state_YES";"Actif"
"Partner [%s] (%s) has been saved";"Le partenaire [%s] (%s) a été enregistré"
"Partner ""#0#"" will be deleted. Confirm ?";"Le partenaire ""#0#"" va être supprimé. Confirmez vous ?"
"Contact [%s] has been saved.";"Le contact [%s] a été enregistré."
"Contact already exists.";"Le contact existe déjà."
"New contact for partner: %s.";"Nouveau contact pour le partenaire: %s."
"View contact for partner: %s.";"Edition du contact du partenaire: %s."
"Contact ""#0#"" will be deleted. Confirm ?";"Le contact ""#0#"" va être supprimé. Confirmez vous ?"
"[1]one contact|(1,Inf]%s contacts";"[1]un contact|(1,Inf]%s contacts"
"View contacts for partner: %s.";"List des contacts pour le partenaire: %s."
"Partner [%s] has been saved";"Le partenaire [%s] a été enregistré."
"Partner";"Partenaire"
"postcode";"code postal"
